Model,ROC,Sens,Spec
Elastic-net / LASSO logistic regression,0.992992776339103,0.942055335968379,0.985885057471264
Random Forest,0.99017230021353,0.94197628458498,0.97048275862069
Radial SVM,0.990511562400618,0.967944664031621,0.979862068965517
