Sample,Group,DMR_1,DMR_10,DMR_102,DMR_103,DMR_104,DMR_108,DMR_11,DMR_110,DMR_112,DMR_116,DMR_118,DMR_119,DMR_12,DMR_120,DMR_122,DMR_123,DMR_125,DMR_129,DMR_132,DMR_133,DMR_14,DMR_142,DMR_145,DMR_149,DMR_15,DMR_152,DMR_153,DMR_154,DMR_158,DMR_159,DMR_16,DMR_160,DMR_162,DMR_163,DMR_164,DMR_165,DMR_166,DMR_167,DMR_168,DMR_169,DMR_171,DMR_175,DMR_176,DMR_178,DMR_18,DMR_180,DMR_183,DMR_186,DMR_187,DMR_192,DMR_193,DMR_195,DMR_196,DMR_199,DMR_201,DMR_202,DMR_205,DMR_209,DMR_213,DMR_215,DMR_218,DMR_219,DMR_22,DMR_221,DMR_223,DMR_226,DMR_229,DMR_23,DMR_230,DMR_231,DMR_25,DMR_26,DMR_27,DMR_29,DMR_31,DMR_32,DMR_35,DMR_36,DMR_37,DMR_38,DMR_4,DMR_41,DMR_44,DMR_45,DMR_48,DMR_49,DMR_50,DMR_53,DMR_57,DMR_61,DMR_62,DMR_64,DMR_65,DMR_68,DMR_69,DMR_7,DMR_70,DMR_74,DMR_78,DMR_79,DMR_80,DMR_81,DMR_83,DMR_85,DMR_9,DMR_93,DMR_94,DMR_95,DMR_96,DMR_98
GSM2714567,Normal,0.0445751524874217,0.166418178119654,0.0930893882692503,0.201462148580491,0.16392136763449,0.149652530282043,0.17386019382385,0.0892486149986835,0.178375931483445,0.280921913035633,0.151950468748617,0.228702073247129,0.136414924507806,0.264707678369882,0.208763256270582,0.1898439025289,0.189203929426313,0.245388572574772,0.201776207691599,0.168914444625729,0.126973350058904,0.305429636363685,0.450380419637208,0.280363536476029,0.12313450024742,0.172965212793226,0.0908294734963014,0.119567501103906,0.0919080001337385,0.0738614215766743,0.128845437117322,0.0930326085382625,0.131423343806303,0.119235362698522,0.13026535766639,0.142879790214589,0.183978844507309,0.128256092099594,0.124781852074334,0.147386769900355,0.116409780727478,0.145240397008253,0.116846872050749,0.132640325282657,0.0872151298959116,0.0898543918421795,0.0820564714029861,0.303451716170877,0.139457005644237,0.138333810524701,0.0743653823680832,0.12813737920027,0.295928490690021,0.171525423088242,0.197426815078079,0.148948610849887,0.278480887546526,0.250625752986889,0.167294817938366,0.295615946116108,0.207166314345552,0.0988815487659743,0.102124948609087,0.319355784823447,0.258775047269576,0.224950480926582,0.334177618794606,0.209986866695719,0.273214727836221,0.166928039008269,0.0929309537582321,0.0946059802483284,0.184759077923844,0.185516349239701,0.103229021325229,0.0977628880160894,0.221568061409735,0.106007356626303,0.196312662707894,0.104133948087556,0.139941934153386,0.139983725747018,0.158517013613221,0.0914786733712882,0.123871328480598,0.197470333463834,0.152157577186101,0.154280823970886,0.15893607921302,0.106307389399295,0.17808859027265,0.109242965774557,0.167268059405735,0.123507850766362,0.185697882087057,0.153861885829622,0.163831440249299,0.219645588687061,0.205933692247762,0.160069457399381,0.138291117839632,0.140694045093378,0.139119747113522,0.242288934268741,0.167288785103429,0.253026106795365,0.228202614733608,0.0581557023687253,0.205253984792954,0.281970819132126
GSM2714568,Normal,0.0566777442442062,0.141560164042413,0.086283804040977,0.202006459062707,0.142864095649615,0.103681695544975,0.197821596455137,0.112428502606793,0.185364313849607,0.231730038821794,0.187978627613497,0.268803157610212,0.109703856665828,0.23744820588081,0.219268883184377,0.185868970571853,0.15373167912407,0.207222171695321,0.189251715809622,0.176900774577991,0.132662723453975,0.273725835057441,0.322304009147936,0.198507648513846,0.118498867676059,0.17124443864438,0.0976285697666524,0.150577239145678,0.101970001070699,0.0871694849956177,0.15512053695101,0.0868338049723512,0.139044781077789,0.113250611839315,0.125673306905698,0.191102511351754,0.176208350162631,0.143871701467805,0.123933333267146,0.122162817691403,0.12008125309192,0.128313526603013,0.125213525437803,0.164826905100542,0.0946519227892025,0.0883521517630794,0.0983407626759558,0.242237711746147,0.141795070663792,0.149884508568202,0.0927780672948602,0.134087802234494,0.26527510517664,0.166592235107426,0.194256328559331,0.152790517552941,0.217687306727311,0.227329809820554,0.174282357338092,0.235601670661791,0.191842560081083,0.105279738765315,0.113011190045166,0.229305719733771,0.23017582092361,0.177590668945488,0.241534239647524,0.179402622571744,0.237263338508981,0.176165211972672,0.127802135269903,0.0761364359259216,0.218315127072127,0.119539041119031,0.0819157573647974,0.114730840607124,0.166546241138267,0.108575642774612,0.206460144882415,0.136592782856327,0.131332415662729,0.137924098135899,0.159732452755096,0.104275307131749,0.149333948492477,0.136743933363648,0.157497868019791,0.143671616973936,0.16149811264906,0.135862576474942,0.149826219778626,0.104422509666655,0.1528511664988,0.134103752584999,0.149610393125977,0.105661324517175,0.166575551405098,0.213831370010669,0.136821064620275,0.157047068157818,0.13614554311842,0.140318526757983,0.140090795088945,0.229231862111359,0.163597523655394,0.193474826971003,0.17137923968898,0.0777448887118171,0.162104604517824,0.244198299689864
GSM2714571,Normal,0.0660727496967684,0.136667518638355,0.098551353931653,0.203929141024552,0.153830100879603,0.153759614618502,0.23516218345019,0.122089901136966,0.176614833849574,0.226383645097783,0.185547793314979,0.256429416854804,0.125844960714963,0.225564773428213,0.269490439943107,0.192196545086298,0.196484127835392,0.213849834278588,0.185651868128793,0.179141213214249,0.1416216334577,0.262114032273556,0.336496402103033,0.202315214516082,0.111965662587646,0.171726026349802,0.102499121829954,0.14681173967883,0.11316336101977,0.0993860490611085,0.149169483759064,0.104286051009824,0.165588922406205,0.135831951655196,0.13312131516824,0.209316308998003,0.181641361063439,0.132096211309678,0.161714171142987,0.117448450407406,0.137171709754783,0.128518223602037,0.139332489779044,0.164729612551434,0.111235944049564,0.130616762054451,0.10734859918151,0.25311037337322,0.216387988684468,0.155896973104726,0.0960693352963086,0.147152885847731,0.223017524080279,0.183485063963997,0.178801922912827,0.155399169798826,0.221168972077435,0.203745988850161,0.189754929095484,0.221549532682154,0.182621815512414,0.118884465000264,0.128596327507201,0.245702755438583,0.23163686319987,0.184954514731083,0.234696778610025,0.172469642101016,0.243458391976315,0.175199503920671,0.12076767998127,0.0985890394505524,0.185997010840437,0.164027985931059,0.104383812649817,0.117623742460227,0.112727999375517,0.115401770642163,0.245331864798109,0.137156608203058,0.144110170681242,0.163709080709322,0.227980934571655,0.111207517939725,0.109235151082024,0.117820103458197,0.16319000907819,0.159262565131515,0.156947348747786,0.133871444686275,0.161937650711124,0.136819773919499,0.156996996566926,0.135816660257234,0.15380078824562,0.103908510009215,0.175408492136762,0.225377731478645,0.106678553426827,0.1685823559715,0.145764169053148,0.152530716677594,0.160792597346359,0.232535745300762,0.170230629981821,0.193351860941677,0.185098615472495,0.1079036975348,0.171282408051678,0.231511576727808
GSM2714572,Normal,0.0653938391142911,0.14251231673949,0.0903584555751969,0.198520859240782,0.177980190576221,0.171867149730807,0.236708618758499,0.110942441684403,0.183052744144563,0.264351091073636,0.168799418516613,0.246498319435017,0.134432039236406,0.250782159082918,0.21080314220274,0.197240264346578,0.249591799607592,0.251141110344522,0.221190357187623,0.18337876602109,0.130572615289149,0.292718528570491,0.362659963109235,0.175257086326908,0.150005641979498,0.173099862789218,0.112804230131727,0.154102861709833,0.119933494095689,0.0962526605609025,0.155337037503732,0.116832284042829,0.16296623680641,0.142058466322364,0.139010912273536,0.140038292188774,0.201307436497434,0.158049327292393,0.15388467850006,0.215730184443292,0.124533231101633,0.119481212644791,0.168715066248355,0.169030097239617,0.110955684655081,0.130499884481426,0.100175565033354,0.301422196987541,0.181249285694025,0.167782075213649,0.0879489824025356,0.169048676742457,0.253848253259139,0.186116099992512,0.200473022026779,0.180722970371406,0.233006213670921,0.239258026761582,0.196455844854033,0.274983804833499,0.202889627533229,0.136964975525446,0.157415435278472,0.302745780764833,0.26204611369026,0.21001563578644,0.297703749709829,0.177177828438788,0.287221798417668,0.189326276038916,0.118256415805389,0.108911476217572,0.213585287828205,0.153203508408067,0.11096422984582,0.100499752407118,0.207149733568448,0.100212187689386,0.265934241076007,0.124523587460471,0.155556311723499,0.161974091087998,0.1824770158707,0.119381228444933,0.141383920428934,0.146553813947429,0.164156712048304,0.152941432541613,0.158578343060359,0.139819204591628,0.15733182130112,0.111812813819321,0.164062002053283,0.14785011650077,0.192980022546197,0.199038377977491,0.179450387444498,0.25108489425523,0.20366447317654,0.177726834060438,0.13217461769258,0.16279665024301,0.155319898851995,0.246079555738872,0.172028146332376,0.237235649409253,0.202725084101281,0.104951170621159,0.187765225023467,0.270771624476921
GSM2714575,Normal,0.0735090847312307,0.254888040616993,0.139342011735029,0.250296174229587,0.200108379589256,0.198283060308891,0.294562797296091,0.15316010049366,0.224559965206933,0.311028606217365,0.242252723537122,0.2991141384761,0.216469166088723,0.304566060515354,0.308027262326023,0.241936287446754,0.261719048630162,0.240299430272854,0.247166767777285,0.239052037109236,0.204489424247749,0.334795068203257,0.387743054523262,0.271574444511305,0.130137311295325,0.242075432542012,0.132862996068752,0.212410201764017,0.127397294818707,0.110138253506157,0.20684622208738,0.113679283322761,0.230055017022643,0.20883804239073,0.181072711271622,0.209015611548565,0.253512239078053,0.192593452261762,0.172175445108164,0.198262689519855,0.165107788468535,0.174344987884657,0.208049970792375,0.193570482385457,0.150377988988048,0.160197552377269,0.153950161680286,0.323751580305174,0.221554172172626,0.205208565058026,0.166031096380673,0.18337346976817,0.338576646998805,0.249525353211822,0.23130491780346,0.186621793032376,0.305506556867894,0.261533371393776,0.246967954872299,0.313827434218531,0.251726490945874,0.14244107722913,0.174725759679384,0.319698126109042,0.30507300536536,0.23924336980626,0.326275688007674,0.270379998348954,0.325952030463328,0.21961034705126,0.190769516913724,0.127526689360165,0.248036298952397,0.217788200495384,0.130927777712334,0.159667844519191,0.126095106824656,0.163847142392984,0.332116165253996,0.212935211113669,0.152901722988577,0.192113555029551,0.218349581791408,0.150428621233984,0.148482437957073,0.18365305627515,0.228121569687205,0.224123103308904,0.234481195426107,0.186847533477149,0.222501939092908,0.155292467587661,0.215011538415725,0.165554157760363,0.215532362003784,0.174245072147577,0.231068387780776,0.296683894011054,0.193825574438984,0.238000121734551,0.17900408917559,0.242451286980459,0.210414072870043,0.297914641807118,0.20720304928632,0.268686437893411,0.234505762616339,0.157564654491108,0.251424729279069,0.308297508003901
GSM2714576,Normal,0.11682690534173,0.217579530568514,0.112426565896912,0.292980815836991,0.235103360533173,0.234149108243747,0.232415873998952,0.167704889279393,0.246245505557047,0.300020655818257,0.2293125343874,0.327111935084419,0.188904471812593,0.309777154519371,0.304548581895125,0.264218844931266,0.191630065104635,0.251554486297918,0.237588493905659,0.252427690837432,0.181922548300878,0.354035454419237,0.382960883695951,0.268572175131704,0.18770067113466,0.224327274737985,0.118242254871652,0.201340773534531,0.120614795547865,0.118080353263938,0.202825363328565,0.124732323245167,0.207791268903389,0.185819466129627,0.180523477984851,0.199532916360256,0.256123108066228,0.19092891195103,0.182431200872444,0.267124737175863,0.163010016711795,0.17268349510609,0.21510976212253,0.216228654120363,0.113181340593988,0.132833966849465,0.136287276013316,0.365824951095207,0.218572765220757,0.186928263795315,0.116028228119057,0.173738032562491,0.3201084102782,0.247231436721702,0.247124636317982,0.188780946618242,0.304592543933302,0.300072268174948,0.241600777771771,0.321874314488274,0.237557267027759,0.136064420858438,0.205169982138044,0.363114964407568,0.31283853268017,0.248250737811,0.359760078534966,0.272791590575922,0.333317031303081,0.19443762342011,0.180428075471654,0.123190518338321,0.279309359667359,0.199368316836625,0.118143694017795,0.176279564311418,0.297292822985082,0.171976860813638,0.292132836750907,0.178290283966475,0.158112256173381,0.194728672962275,0.22206186674277,0.134472851589388,0.222800614276117,0.201163998262116,0.218309691665849,0.202169186452184,0.229954908589324,0.230672211818891,0.230983080175763,0.161462226267757,0.229820411953295,0.205465399864556,0.211253957927533,0.12479028018475,0.18187646143637,0.289264167497742,0.289193325973262,0.20171666606958,0.192239521401165,0.21715598294487,0.198463373945442,0.292762178863171,0.196436618468737,0.270582952296493,0.24611543917502,0.13394462882544,0.266523816445914,0.312852064493331
GSM2714578,Normal,0.0407424269381428,0.0928925340546443,0.0668512279973911,0.128481583048063,0.109192945216426,0.071095967891264,0.153109096396978,0.0788282040279067,0.142731877124592,0.129893806781377,0.140035622209657,0.139390090578633,0.0967930673377302,0.121219123076051,0.142389366221899,0.116838296381495,0.0971435734802566,0.12111967358212,0.0946184970534283,0.130124027096067,0.0851191629912095,0.155307875380607,0.173050707209412,0.123216114542479,0.0745403516240184,0.117828166998432,0.0739381683059988,0.130349281393043,0.0953662512856164,0.0654518665446122,0.127459211810807,0.064860005412292,0.109783334532697,0.0786457945492512,0.0942249220554119,0.0986880087773739,0.12199348541916,0.0895318625052484,0.0927128320628483,0.0991934251678542,0.0804046099662253,0.11377744367169,0.0759774374893739,0.0984094944631484,0.0804658770851976,0.0874018120945472,0.0790222708033095,0.13030967321435,0.123437888801646,0.102459103019821,0.077886587683098,0.0860664372153023,0.135797922520408,0.112147375518289,0.0910860837798697,0.0935888387887008,0.135724186522878,0.126850789506198,0.107576140214669,0.111879958775924,0.131114516154865,0.0840887416637394,0.0737276183847337,0.117866811045223,0.144458573162385,0.111328741594897,0.113884027794313,0.114804464749582,0.133726764436251,0.149756108698445,0.0876910125709638,0.0555528424679109,0.143604036910366,0.104096373540009,0.0636396397537231,0.0713563584504244,0.0567871222486507,0.0753107282941009,0.142943088468058,0.0927375033341484,0.0998112103194715,0.122769331665532,0.11655063368808,0.0938885464280964,0.0643148006033498,0.0883088397384507,0.100301244884092,0.11403644150196,0.09747880796773,0.106111391870297,0.0867267701094605,0.0677576436441341,0.0961801794514003,0.0945227918697438,0.0780008683031427,0.0760644297932465,0.140442147984832,0.149552612359155,0.0807507534008167,0.124438856318347,0.091756959590179,0.118100615311787,0.112055657056254,0.157786873039481,0.132637274523473,0.112407969864027,0.111144502053266,0.0532377675876912,0.0922303156907042,0.130340802036556
GSM2714581,Normal,0.0356430157590794,0.0718762809863767,0.0571421801972473,0.103559734622132,0.107460494637801,0.09864267137012,0.183510310468402,0.0670731080748015,0.141233810662298,0.119546887457191,0.12055704739741,0.129656427290482,0.102596424184978,0.112340274160666,0.124435142573016,0.116671211687667,0.0884103433925494,0.107159560837979,0.105811792438814,0.128647010495004,0.090332717988221,0.150285756283066,0.129051895999335,0.113325248257233,0.0823022495111617,0.103186112063973,0.0740905468669325,0.136379246723509,0.0841140091461018,0.0594670194838533,0.118838609167105,0.074928338932898,0.11859207259899,0.0673849868315516,0.0998921729623701,0.0737835949074484,0.108300519161799,0.0851025296006948,0.0986393418683086,0.0811753069269129,0.0640637930510595,0.126192724107666,0.0773071236919435,0.0837210992584553,0.0771754622029038,0.0768400072036723,0.0979837143221248,0.137530758195611,0.144099265502684,0.111318625686584,0.0660994497464148,0.0883195082723816,0.138946806560294,0.0855908862041814,0.0802027325017958,0.0867985458148526,0.108649905413686,0.1325703119635,0.104454985511226,0.104506086062251,0.115944434106873,0.0882679138232884,0.0712431642171207,0.126352974217233,0.116938252518969,0.102758570135663,0.104984213030745,0.10301976068801,0.119207026390781,0.137592232440708,0.0791761183037916,0.0560319077817664,0.125188467567785,0.124277694432394,0.0705554715462793,0.0611845544174294,0.0552009277503562,0.0623711511458811,0.148926446242173,0.0888957261734248,0.0738404595530453,0.149739016301172,0.112338787130279,0.0840995660440451,0.0783194207642192,0.10265143020174,0.08244568046632,0.124476265423393,0.0802982017980137,0.0776952234272037,0.0851261850835882,0.0623726694194629,0.0954936054657899,0.0908004763957449,0.07755527398383,0.0770645328508869,0.138995257448389,0.130600840578521,0.0672551754944429,0.127168407676286,0.0804945811859648,0.13315420899747,0.106175970363527,0.134313743885142,0.137144094641621,0.0833878859428897,0.107427635824618,0.0525604589725617,0.0849004268856747,0.116524291880641
GSM2714582,Normal,0.0493489871167356,0.116909734214885,0.0726712903501945,0.159498991237436,0.141616300565838,0.134004756692753,0.165896923522684,0.0808829644243024,0.154791825789008,0.193538491921155,0.145415439803929,0.173833062617965,0.117411853236855,0.197172436521817,0.174335770482121,0.194412726509583,0.168486039743032,0.173855342426739,0.167771540136177,0.149860738658291,0.101239690055789,0.234975760426496,0.242017872542362,0.172049802627468,0.0952072897185659,0.151684943579484,0.0807631669376683,0.118988171618794,0.0948839176358971,0.0726386364402238,0.117180411253126,0.0882650424951437,0.126512230921908,0.0935852270232656,0.124389919619459,0.115906020492795,0.15815506911301,0.0999505809747182,0.116365739346558,0.135834966288342,0.0901135519821068,0.135505261535022,0.0973134280193563,0.104755047761509,0.0851081315615901,0.107927395207787,0.0864702300413464,0.230746850732812,0.182903013919187,0.139990799950764,0.0893065341542287,0.101218574891358,0.232373115770324,0.131793591370457,0.141568603002575,0.112981879318183,0.205523292044385,0.174180888336457,0.131100152083768,0.201370140476093,0.173564026986281,0.0909925569336197,0.100535707523606,0.221439763397505,0.193989636782484,0.155674505822949,0.22341259959386,0.162198431110552,0.20394726450132,0.160071109065579,0.0957710506951403,0.0931444779778892,0.155262762813299,0.164897802103181,0.0843107813808408,0.077559439448106,0.11360917419138,0.0838147910428834,0.156566949537103,0.104410116203347,0.112565200470266,0.141867570946847,0.14266732853318,0.1029370706473,0.124418646762131,0.13380262940187,0.116339838580141,0.14366797219133,0.11781962852755,0.0946683473846398,0.127234240493826,0.0686258271887256,0.122878279563816,0.108240416458482,0.130199929601153,0.0741502112453109,0.165292388441927,0.174240252759605,0.130328330637812,0.138902613303727,0.117629064206809,0.150220013969986,0.1180485747185,0.173946377749961,0.14815298653084,0.162664957234498,0.162031753477112,0.0529113794251808,0.134481592770538,0.186474479687881
GSM2714585,Normal,0.050761439674874,0.117734248381362,0.0755729068788519,0.154956107430899,0.133330482204116,0.0891393320323692,0.164388830323208,0.0954994715125386,0.156209456778526,0.171336413743886,0.152655678581007,0.175828309702848,0.109055557221768,0.165643341127005,0.172372685228663,0.13850742162844,0.137562865626844,0.173384688083689,0.127056634675258,0.13807625221644,0.109789337871163,0.199334448512962,0.209284417939618,0.150461540264898,0.0975414627438851,0.119134711010706,0.0860874805187262,0.12796100166822,0.107673863305862,0.0787791811852998,0.131714330788182,0.0787295202346191,0.120954715780725,0.0976336069535345,0.112276793591347,0.122492160412059,0.152240257103652,0.106196112158254,0.115390957124071,0.139267823121827,0.111696885291623,0.107181432698803,0.102444295690224,0.137406918395489,0.0987488804979474,0.103636805719563,0.0849595496694731,0.173370696957717,0.164439735170753,0.138644934508299,0.084696372999688,0.140685217235139,0.178360318822052,0.140230310784152,0.13256726357958,0.125232676829441,0.175300337943478,0.167105233110037,0.124763536352276,0.160331557338882,0.164081768350662,0.111770566282621,0.0933186160975884,0.160780028062956,0.19343845713073,0.145858425159755,0.149838061005771,0.131117557759793,0.183993967415747,0.168907469848853,0.104120921000369,0.0624387808989045,0.167955933788303,0.116831227262095,0.0681029700413613,0.0943168710364324,0.0851309971596559,0.0862918812777484,0.163414034729059,0.115875312868164,0.11703518274518,0.134407568426341,0.1370458333813,0.105779160713458,0.0924124663660537,0.0991162855711659,0.124134763594964,0.144338756994404,0.12058402921098,0.122785714639769,0.116061505549869,0.0857859255998333,0.119979342816575,0.113466252427112,0.113409702335942,0.0836865581926713,0.141877484846897,0.198397023451912,0.123672160791428,0.142866339489177,0.105068864607694,0.131640444248897,0.127313378566557,0.187939026678105,0.140300750617715,0.154484653777373,0.148769131656473,0.0667313160443711,0.12320056022204,0.183616905069984
