Feature,TCGA_mean_Normal,TCGA_mean_Tumor,TCGA_deltaBeta,TCGA_wilcox_p,TCGA_FDR
DMR_183,0.0885026303703735,0.364981728865698,0.276479098495324,0.00000000000000000193043672006843,0.00000000000000000212348039207528
DMR_186,0.312046773711508,0.581579295141801,0.269532521430293,0.00000000000000000000000159200957001917,0.00000000000000000000000318401914003834
DMR_187,0.239270712902009,0.518920897930966,0.279650185028957,0.0000000000000000000000230096652179302,0.0000000000000000000000328709503113288
DMR_192,0.1522142111399,0.425147661065719,0.272933449925818,0.00000000000000000000000281300709729454,0.00000000000000000000000499081904358709
DMR_193,0.0894533453855432,0.328656113305498,0.239202767919955,0.000000000000000294416190806145,0.000000000000000305526235742226
DMR_195,0.157892446543003,0.403538987885454,0.24564654134245,0.00000000000000000000718328686479588,0.00000000000000000000868309401239062
DMR_196,0.262743924170676,0.537640194646113,0.274896270475437,0.000000000000000000624660281246667,0.000000000000000000708377638527148
DMR_199,0.184978103895923,0.446296858408901,0.261318754512978,3.46642925209075e-25,8.86760971465076e-25
DMR_201,0.244071729447342,0.519833313314419,0.275761583867076,0.00000000000000000000000947927847783273,0.0000000000000000000000142838442816658
DMR_202,0.172041515170548,0.416652635241596,0.244611120071049,2.30022647855395e-26,1.4056939591163e-25
DMR_205,0.247766916990478,0.504244852484135,0.256477935493657,1.50610215867219e-25,4.47760101226866e-25
DMR_209,0.268397013102271,0.541185126205114,0.272788113102843,0.00000000000000000000000533404758865158,0.00000000000000000000000850355412683586
DMR_213,0.18525685463387,0.461388921364193,0.276132066730323,0.00000000000000000000000209097148949687,0.00000000000000000000000396563558352855
DMR_215,0.257856140048506,0.522164409118943,0.264308269070437,3.73817372936905e-25,9.13775800512435e-25
DMR_218,0.201723048586541,0.427201681784999,0.225478633198459,0.00000000000000000000016023276814814,0.000000000000000000000207360052897592
DMR_219,0.103280462718058,0.320411185986292,0.217130723268234,0.00000000000000112828266760112,0.00000000000000114917679107521
DMR_22,0.156608598322526,0.464429410901971,0.307820812579445,0.000000000000000000000714633342665531,0.000000000000000000000883254693182117
DMR_221,0.290139876122747,0.547363219171249,0.257223343048502,1.19852972933188e-25,3.76680772075733e-25
DMR_223,0.273738599751443,0.525026003036436,0.251287403284993,4.34656842793353e-25,0.00000000000000000000000103939679798411
DMR_226,0.219484531184544,0.460560698918507,0.241076167733963,6.33099394685286e-25,0.00000000000000000000000136550849834081
DMR_229,0.269955373194956,0.514308581021202,0.244353207826245,0.0000000000000000000000133318463890204,0.0000000000000000000000195321564173862
DMR_23,0.207160919377604,0.542626853547674,0.33546593417007,1.07261003176309e-26,1.24155649774465e-25
DMR_230,0.278517173514756,0.520253409290183,0.241736235775427,5.57835616717078e-26,2.27266362366217e-25
DMR_231,0.177670338364016,0.406669918666421,0.228999580302405,0.0000000000000000000285418717434014,0.0000000000000000000341261509975451
DMR_25,0.0935627552616787,0.452875859827435,0.359313104565756,0.0000000000000000000000842593678988991,0.000000000000000000000111669041793722
DMR_26,0.0984230798508448,0.427199422406725,0.32877634255588,1.04213464340224e-25,3.47378214467415e-25
DMR_27,0.175091831328598,0.535455683983999,0.360363852655401,0.00000000000000000000000147775288121928,0.00000000000000000000000306703428177587
DMR_29,0.18221634572301,0.508490905515066,0.326274559792056,7.78320599101389e-28,8.56152659011528e-26
