Feature,mean_abs_SHAP,mean_SHAP,SHAP_rank
DMR_7,0.00272809676882748,-0.00000252858689290062,1
DMR_4,0.00235623946107487,-0.0000164937257452033,2
DMR_74,0.00220434303306743,-0.0000423597686368589,3
DMR_118,0.00217658253249445,0.0000590119650592375,4
DMR_10,0.00210444024283181,-0.00000376870616113205,5
DMR_41,0.00208788486116139,0.0000272258978604153,6
DMR_119,0.00204952604817251,-0.0000197726909584571,7
DMR_132,0.002035589743481,0.0000326013519159923,8
DMR_38,0.00203016967482787,0.0000028164595692757,9
DMR_14,0.00199274604094886,0.0000698960645323803,10
DMR_85,0.00197372694188075,-0.0000424813257894578,11
DMR_158,0.00196110328787119,-0.00000602596027390097,12
DMR_112,0.00194423698650258,0.000097730263225043,13
DMR_29,0.00193753107604973,-0.0000539849901937653,14
DMR_9,0.00192468150056124,0.0000292990572383909,15
DMR_65,0.0018803165299165,-0.0000107811605187018,16
DMR_149,0.00185644510347732,-0.000014703969056818,17
DMR_53,0.00177901803209054,0.0000146976731571354,18
DMR_27,0.00177297055255495,-0.00000442424091228765,19
DMR_31,0.0017553052365274,0.000030899344880597,20
DMR_18,0.00172642161693491,-0.00000781615291823304,21
DMR_186,0.00168411991333297,-0.00000741045639744697,22
DMR_201,0.00167784702166346,0.0000274033680788374,23
DMR_209,0.00167113688015961,0.0000536637689370695,24
DMR_16,0.00166885790432956,0.000044163544126065,25
DMR_129,0.00166847629009933,0.000108482787324391,26
DMR_45,0.00165939313605389,-0.0000751031123932308,27
DMR_50,0.00165193246843031,-0.00000277807977468859,28
DMR_120,0.00163963670600523,-0.0000700746189492012,29
DMR_230,0.00163051234225214,-0.000114563982567381,30
DMR_37,0.00162903778035393,-0.0000677156006070753,31
DMR_79,0.00162552791059484,0.0000660585863122388,32
DMR_108,0.00161986653200769,-0.0000530871931084306,33
DMR_11,0.00161921495186701,0.000046742441652956,34
DMR_223,0.00161786219136498,0.0000802945819602636,35
DMR_36,0.00161696892125743,0.000041450982492689,36
DMR_94,0.00161425389901996,0.0000430980973218596,37
DMR_1,0.00160937672838305,0.0000790020015496224,38
DMR_15,0.00160673960277304,-0.00000231327927970555,39
DMR_70,0.00159727255527681,0.0000287080014476826,40
DMR_187,0.00159059640699723,-0.0000338434120445571,41
DMR_133,0.00158857582986503,0.0000615760746796151,42
DMR_213,0.00158593851576312,0.000052113903980073,43
DMR_165,0.00158526575919692,0.0000427738570833329,44
DMR_122,0.00155817414455688,0.0000630552881204442,45
DMR_178,0.0015266109239992,0.00000136205198072912,46
DMR_57,0.0015109009978891,0.0000424197559795772,47
DMR_199,0.00149641844813046,0.0000600767541474202,48
DMR_195,0.00149603890922739,-0.0000262843574070649,49
DMR_152,0.00148991307448967,0.0000292736223515028,50
DMR_23,0.0014856471807268,0.0000112061736340571,51
DMR_169,0.00146792247582308,-0.000015596090541753,52
DMR_78,0.0014222505617794,0.000025292970277436,53
DMR_164,0.00140601650939846,-0.0000527311267059788,54
DMR_61,0.00140537937064939,-0.0000274240999325992,55
DMR_62,0.00140225688490146,-0.00000159569249661152,56
DMR_95,0.00138996813031471,-0.0000535997229081737,57
DMR_142,0.00138565197233176,0.0000303806399709487,58
DMR_102,0.00137296835589377,-0.00000797968306947721,59
DMR_176,0.00136162125938872,-0.0000244890755654547,60
DMR_98,0.00135523701923586,0.0000488682116967257,61
DMR_26,0.00135175281840979,0.0000107923435267616,62
DMR_64,0.00133826228096765,-0.0000315054295285267,63
DMR_154,0.00132676914418338,-0.0000145922142437206,64
DMR_183,0.00131614525893411,0.0000650205463826049,65
DMR_22,0.0013053498050551,0.0000236733059774149,66
DMR_166,0.00128660970500421,-0.0000405441511067877,67
DMR_167,0.00127430902308685,0.00000605619807102888,68
DMR_160,0.00126690454077308,-0.0000375566253721287,69
DMR_215,0.0012602469216883,-0.0000284211886976309,70
DMR_125,0.00124850692356395,0.0000114854660087751,71
DMR_103,0.00124754486959351,-0.0000774715951477681,72
DMR_81,0.00124363507201507,-0.0000351330708176142,73
DMR_123,0.0012340047557537,0.00000450198015994073,74
DMR_145,0.00123275175690077,-0.0000162223266435993,75
DMR_202,0.00123202702295627,0.00000861132027579969,76
DMR_196,0.00122074054583691,0.0000525995410177611,77
DMR_25,0.00120862379297555,-0.0000558592218131549,78
DMR_68,0.00119965773273435,-0.0000315763423443238,79
DMR_163,0.00119483081325467,0.00000117138006660724,80
DMR_110,0.00118988069602249,-0.0000505882767196452,81
DMR_221,0.00118568819491816,-0.0000523759781803037,82
DMR_175,0.00118227754510174,0.0000918164205528942,83
DMR_44,0.00117568827312581,0.0000245624660963045,84
DMR_83,0.00115851553682913,-0.0000208430823748322,85
DMR_162,0.00112377417134438,-0.00000891251060121918,86
DMR_193,0.00112345246819036,-0.0000486331440681302,87
DMR_116,0.00112312758443196,-0.0000163412673116477,88
DMR_231,0.00110124461992214,-0.0000121529325829404,89
DMR_93,0.00109050429539513,0.0000360286611243373,90
DMR_229,0.00108545876369909,-0.00000186681646755953,91
DMR_48,0.00108029700528802,-0.0000768547884931871,92
DMR_180,0.0010756673666409,-0.0000487346623167076,93
DMR_218,0.00107216254820334,-0.0000536188274211549,94
DMR_226,0.00106906630394963,-0.0000450345297632062,95
DMR_35,0.00106671993669597,-0.0000227740270947496,96
DMR_192,0.00104818455275836,0.000018524239900641,97
DMR_159,0.00104624400614243,-0.000014536448808031,98
DMR_80,0.00103881572098892,-0.0000427408805437972,99
DMR_104,0.00103158594518646,-0.0000733811807130087,100
DMR_168,0.00100030864298591,-0.00000501890682926943,101
DMR_69,0.000999079251597142,-0.0000561779051550053,102
DMR_205,0.000977103886132947,-0.0000186894043196517,103
DMR_96,0.00097405379643232,-0.0000199643815736902,104
DMR_32,0.000924336563602362,0.0000296004898863859,105
DMR_153,0.000911265800384723,0.0000558548015941534,106
DMR_219,0.000875406819159202,-0.00000095541762810462,107
DMR_49,0.000783216257466159,0.000030330945066566,108
DMR_171,0.000761380936888405,-0.0000168203788790525,109
DMR_12,0.000685395732470634,0.0000153531519868306,110
