Feature,SHAP_rank,priority_rank,mean_abs_SHAP,discovery_deltaBeta,validation_mean_deltaBeta,legacy_discovery_deltaBeta,discovery_no_cpgs,score_SHAP,score_discovery_delta,priority_score,rank_change
DMR_201,23,24,0.00167784702166346,0.258686829422438,0.200572050859919,0.200572050859919,14,0.485852443176346,0.379557547807654,0.443334485028869,-1
DMR_38,9,25,0.00203016967482787,0.219046187445386,0.247381171454541,0.247381171454541,14,0.658331257693804,0.114859369195444,0.440942502294459,-16
DMR_62,56,26,0.00140225688490146,0.285271166727552,0.23374181107386,0.23374181107386,13,0.350937870824871,0.557072979276951,0.433391914205703,30
DMR_165,44,27,0.00158526575919692,0.263230512322261,0.216554163993254,0.216554163993254,6,0.4405294806778,0.409897737264496,0.428276783312479,17
DMR_45,27,28,0.00165939313605389,0.254825887961054,0.243488112534949,0.243488112534949,15,0.476818382253518,0.353776326273746,0.427601559861609,-1
DMR_129,26,29,0.00166847629009933,0.250858712127604,0.210648575898814,0.210648575898814,7,0.481265021229937,0.327285730638173,0.419673304993232,-3
DMR_79,32,30,0.00162552791059484,0.252774131877759,0.227628368606073,0.227628368606073,13,0.460239732291385,0.340075839321009,0.412174175103234,2
DMR_27,19,31,0.00177297055255495,0.233642303412195,0.256758114280143,0.256758114280143,19,0.532419967840232,0.212324120484375,0.404381628897889,-12
DMR_50,28,32,0.00165193246843031,0.246305425184544,0.24034356396521,0.24034356396521,14,0.473166028095571,0.296881410717612,0.402652181144387,-4
DMR_94,37,33,0.00161425389901996,0.250050045184107,0.222955823606649,0.222955823606649,22,0.454720563615097,0.321885902169919,0.401586699037026,4
DMR_16,25,34,0.00166885790432956,0.242536262339372,0.27656595406094,0.27656595406094,20,0.481451839674461,0.271713035780914,0.397556318117042,-9
DMR_98,61,35,0.00135523701923586,0.274467353173212,0.222115279684786,0.222115279684786,10,0.327919394391597,0.484931116096349,0.390724083073498,26
DMR_44,84,36,0.00117568827312581,0.292464774810303,0.244058803463961,0.244058803463961,7,0.240021683021032,0.605107896528205,0.386056168423901,48
DMR_186,22,37,0.00168411991333297,0.23545097902884,0.206970308282804,0.206970308282804,10,0.488923324111861,0.2244014511619,0.383114574931877,-15
DMR_230,30,38,0.00163051234225214,0.237946117152535,0.185945306180995,0.185945306180995,25,0.462679850335377,0.241062596990726,0.374032948997517,-8
DMR_133,42,39,0.00158857582986503,0.242355186179343,0.208650000681814,0.208650000681814,21,0.44214991881789,0.270503909809202,0.373491515214415,3
DMR_57,47,40,0.0015109009978891,0.25085002785088,0.235291611390796,0.235291611390796,12,0.404124368042988,0.327227741864108,0.373365717571436,7
